"Row.Labels","Feeding.habits","event_duration_seconds","low_frequency_hertz","high_frequency_hertz","common_name_tags","tag_number","other_tags","event_start_date_australia_brisbane_10_00","event_start_time_australia_brisbane_10_00","listen_url","long","lat","treatment","point_name"
"australian magpie","insectivore",1.9414,1031.25,3328.125,"6:Australian Magpie","6","","2017-09-25","08:28:13","http://api.ecosounds.org/listen/463221?start=8640&end=8670",145.525884,-27.992356,"intermediate","int_growth1"
"australian magpie","insectivore",5.44,0,2156.25,"6:Australian Magpie","6","","2017-09-25","07:45:06","http://api.ecosounds.org/listen/463221?start=6060&end=6090",145.525884,-27.992356,"intermediate","int_growth1"
"australian magpie","insectivore",1.2374,1218.75,3000,"6:Australian Magpie","6","","2017-09-21","07:13:39","http://api.ecosounds.org/listen/463242?start=3870&end=3900",145.525884,-27.992356,"intermediate","int_growth1"
"australian magpie","insectivore",1.664,515.625,2250,"6:Australian Magpie","6","","2017-09-18","07:15:24","http://api.ecosounds.org/listen/463225?start=3720&end=3750",145.525884,-27.992356,"intermediate","int_growth1"
"australian magpie","insectivore",4.7786,140.625,1500,"6:Australian Magpie","6","","2017-09-18","07:11:00","http://api.ecosounds.org/listen/463225?start=3480&end=3510",145.525884,-27.992356,"intermediate","int_growth1"
"australian magpie","insectivore",2.0054,46.875,2296.875,"6:Australian Magpie","6","","2017-09-18","06:18:57","http://api.ecosounds.org/listen/463225?start=330&end=360",145.525884,-27.992356,"intermediate","int_growth1"
"australian magpie","insectivore",2.6453,421.875,2906.25,"6:Australian Magpie","6","","2017-09-16","07:52:01","http://api.ecosounds.org/listen/463245?start=5820&end=5850",145.525884,-27.992356,"intermediate","int_growth1"
"australian magpie","insectivore",8.4053,468.75,2906.25,"6:Australian Magpie","6","","2017-09-16","07:19:00","http://api.ecosounds.org/listen/463245?start=3840&end=3870",145.525884,-27.992356,"intermediate","int_growth1"
"australian magpie","insectivore",4.7573,328.125,1781.25,"6:Australian Magpie","6","","2017-09-16","07:17:15","http://api.ecosounds.org/listen/463245?start=3720&end=3750",145.525884,-27.992356,"intermediate","int_growth1"
"australian magpie","insectivore",0.576,234.375,2484.375,"6:Australian Magpie","6","","2017-09-16","06:52:00","http://api.ecosounds.org/listen/463245?start=2220&end=2250",145.525884,-27.992356,"intermediate","int_growth1"
"australian magpie","insectivore",5.5253,609.375,2109.375,"6:Australian Magpie","6","","2017-09-16","06:24:52","http://api.ecosounds.org/listen/463245?start=570&end=600",145.525884,-27.992356,"intermediate","int_growth1"
"australian magpie","insectivore",5.6746,93.75,1734.375,"6:Australian Magpie","6","","2017-09-16","07:21:04","http://api.ecosounds.org/listen/463245?start=3960&end=3990",145.525884,-27.992356,"intermediate","int_growth1"
"australian magpie","insectivore",2.6026,421.875,1875,"6:Australian Magpie","6","","2017-09-10","07:59:43","http://api.ecosounds.org/listen/463240?start=5850&end=5880",145.525884,-27.992356,"intermediate","int_growth1"
"australian magpie","insectivore",3.2,187.5,2437.5,"6:Australian Magpie","6","","2017-09-10","07:24:30","http://api.ecosounds.org/listen/463240?start=3750&end=3780",145.525884,-27.992356,"intermediate","int_growth1"
"australian magpie","insectivore",1.7067,515.625,1921.875,"6:Australian Magpie","6","","2017-09-10","07:20:08","http://api.ecosounds.org/listen/463240?start=3480&end=3510",145.525884,-27.992356,"intermediate","int_growth1"
"australian magpie","insectivore",2.688,46.875,1968.75,"6:Australian Magpie","6","","2017-09-10","06:43:04","http://api.ecosounds.org/listen/463240?start=1260&end=1290",145.525884,-27.992356,"intermediate","int_growth1"
"australian magpie","insectivore",0.7467,375,2718.75,"6:Australian Magpie","6","","2017-09-08","08:45:00","http://api.ecosounds.org/listen/463249?start=8460&end=8490",145.525884,-27.992356,"intermediate","int_growth1"
"australian magpie","insectivore",4.2026,328.125,2718.75,"6:Australian Magpie","6","","2017-09-08","08:01:15","http://api.ecosounds.org/listen/463249?start=5820&end=5850",145.525884,-27.992356,"intermediate","int_growth1"
"australian magpie","insectivore",3.4987,234.375,1453.125,"6:Australian Magpie","6","","2017-09-08","07:46:40","http://api.ecosounds.org/listen/463249?start=4950&end=4980",145.525884,-27.992356,"intermediate","int_growth1"
"australian magpie","insectivore",4.2453,375,3000,"6:Australian Magpie","6","","2017-09-08","07:26:21","http://api.ecosounds.org/listen/463249?start=3720&end=3750",145.525884,-27.992356,"intermediate","int_growth1"
"australian magpie","insectivore",2.0693,281.25,1921.875,"6:Australian Magpie","6","","2017-09-08","07:22:14","http://api.ecosounds.org/listen/463249?start=3480&end=3510",145.525884,-27.992356,"intermediate","int_growth1"
"australian magpie","insectivore",2.4747,187.5,2484.375,"6:Australian Magpie","6","","2017-09-08","07:08:53","http://api.ecosounds.org/listen/463249?start=2670&end=2700",145.525884,-27.992356,"intermediate","int_growth1"
"australian magpie","insectivore",5.5467,140.625,2203.125,"6:Australian Magpie","6","","2017-09-08","06:38:04","http://api.ecosounds.org/listen/463249?start=840&end=870",145.525884,-27.992356,"intermediate","int_growth1"
"australian magpie","insectivore",2.7733,328.125,1734.375,"6:Australian Magpie","6","","2017-09-08","06:33:15","http://api.ecosounds.org/listen/463249?start=540&end=570",145.525884,-27.992356,"intermediate","int_growth1"
"australian magpie","insectivore",3.1573,328.125,2343.75,"6:Australian Magpie","6","","2017-09-07","08:25:00","http://api.ecosounds.org/listen/463244?start=7200&end=7230",145.525884,-27.992356,"intermediate","int_growth1"
"australian magpie","insectivore",4.5653,421.875,2625,"6:Australian Magpie","6","","2017-09-07","07:09:06","http://api.ecosounds.org/listen/463244?start=2640&end=2670",145.525884,-27.992356,"intermediate","int_growth1"
"australian magpie","insectivore",3.1147,328.125,2015.625,"6:Australian Magpie","6","","2017-09-07","06:30:53","http://api.ecosounds.org/listen/463244?start=330&end=360",145.525884,-27.992356,"intermediate","int_growth1"
"australian magpie","insectivore",3.52,328.125,1640.625,"6:Australian Magpie","6","","2017-09-05","08:28:23","http://api.ecosounds.org/listen/463252?start=7200&end=7230",145.525884,-27.992356,"intermediate","int_growth1"
"australian magpie","insectivore",3.648,328.125,2015.625,"6:Australian Magpie","6","","2017-09-05","07:32:01","http://api.ecosounds.org/listen/463252?start=3840&end=3870",145.525884,-27.992356,"intermediate","int_growth1"
